group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
throughput,a-turtle-of-an-issue,,824687,elements,5976522.0,ns,1
throughput,a-turtle-of-an-issue,,824687,elements,13632121.0,ns,2
throughput,a-turtle-of-an-issue,,824687,elements,18959587.0,ns,3
throughput,a-turtle-of-an-issue,,824687,elements,24157373.0,ns,4
throughput,a-turtle-of-an-issue,,824687,elements,29954888.0,ns,5
throughput,a-turtle-of-an-issue,,824687,elements,35901836.0,ns,6
throughput,a-turtle-of-an-issue,,824687,elements,41869355.0,ns,7
throughput,a-turtle-of-an-issue,,824687,elements,47874916.0,ns,8
throughput,a-turtle-of-an-issue,,824687,elements,54114742.0,ns,9
throughput,a-turtle-of-an-issue,,824687,elements,59834081.0,ns,10
throughput,a-turtle-of-an-issue,,824687,elements,65761829.0,ns,11
throughput,a-turtle-of-an-issue,,824687,elements,71774306.0,ns,12
throughput,a-turtle-of-an-issue,,824687,elements,78165704.0,ns,13
throughput,a-turtle-of-an-issue,,824687,elements,84349650.0,ns,14
throughput,a-turtle-of-an-issue,,824687,elements,89733079.0,ns,15
throughput,a-turtle-of-an-issue,,824687,elements,96910707.0,ns,16
throughput,a-turtle-of-an-issue,,824687,elements,102136126.0,ns,17
throughput,a-turtle-of-an-issue,,824687,elements,108128822.0,ns,18
throughput,a-turtle-of-an-issue,,824687,elements,114058923.0,ns,19
throughput,a-turtle-of-an-issue,,824687,elements,122570066.0,ns,20
throughput,a-turtle-of-an-issue,,824687,elements,127104490.0,ns,21
throughput,a-turtle-of-an-issue,,824687,elements,134730935.0,ns,22
throughput,a-turtle-of-an-issue,,824687,elements,150543411.0,ns,23
throughput,a-turtle-of-an-issue,,824687,elements,148028188.0,ns,24
throughput,a-turtle-of-an-issue,,824687,elements,149751374.0,ns,25
throughput,a-turtle-of-an-issue,,824687,elements,155714235.0,ns,26
throughput,a-turtle-of-an-issue,,824687,elements,162187087.0,ns,27
throughput,a-turtle-of-an-issue,,824687,elements,177266480.0,ns,28
throughput,a-turtle-of-an-issue,,824687,elements,177130715.0,ns,29
throughput,a-turtle-of-an-issue,,824687,elements,198713289.0,ns,30
throughput,a-turtle-of-an-issue,,824687,elements,186334349.0,ns,31
throughput,a-turtle-of-an-issue,,824687,elements,191566968.0,ns,32
throughput,a-turtle-of-an-issue,,824687,elements,200075655.0,ns,33
throughput,a-turtle-of-an-issue,,824687,elements,204705641.0,ns,34
throughput,a-turtle-of-an-issue,,824687,elements,209517316.0,ns,35
throughput,a-turtle-of-an-issue,,824687,elements,216316324.0,ns,36
throughput,a-turtle-of-an-issue,,824687,elements,221476456.0,ns,37
throughput,a-turtle-of-an-issue,,824687,elements,227501478.0,ns,38
throughput,a-turtle-of-an-issue,,824687,elements,233401112.0,ns,39
throughput,a-turtle-of-an-issue,,824687,elements,239487300.0,ns,40
throughput,a-turtle-of-an-issue,,824687,elements,245396651.0,ns,41
throughput,a-turtle-of-an-issue,,824687,elements,254052135.0,ns,42
throughput,a-turtle-of-an-issue,,824687,elements,258738135.0,ns,43
throughput,a-turtle-of-an-issue,,824687,elements,267923647.0,ns,44
throughput,a-turtle-of-an-issue,,824687,elements,272292033.0,ns,45
throughput,a-turtle-of-an-issue,,824687,elements,303047168.0,ns,46
throughput,a-turtle-of-an-issue,,824687,elements,287577706.0,ns,47
throughput,a-turtle-of-an-issue,,824687,elements,287602050.0,ns,48
throughput,a-turtle-of-an-issue,,824687,elements,293388054.0,ns,49
throughput,a-turtle-of-an-issue,,824687,elements,300017278.0,ns,50
throughput,a-turtle-of-an-issue,,824687,elements,305401841.0,ns,51
throughput,a-turtle-of-an-issue,,824687,elements,334371392.0,ns,52
throughput,a-turtle-of-an-issue,,824687,elements,361864269.0,ns,53
throughput,a-turtle-of-an-issue,,824687,elements,325856687.0,ns,54
throughput,a-turtle-of-an-issue,,824687,elements,362615114.0,ns,55
throughput,a-turtle-of-an-issue,,824687,elements,342103398.0,ns,56
throughput,a-turtle-of-an-issue,,824687,elements,351445636.0,ns,57
throughput,a-turtle-of-an-issue,,824687,elements,350094841.0,ns,58
throughput,a-turtle-of-an-issue,,824687,elements,362504094.0,ns,59
throughput,a-turtle-of-an-issue,,824687,elements,366550267.0,ns,60
throughput,a-turtle-of-an-issue,,824687,elements,378212440.0,ns,61
throughput,a-turtle-of-an-issue,,824687,elements,392940323.0,ns,62
throughput,a-turtle-of-an-issue,,824687,elements,391828983.0,ns,63
throughput,a-turtle-of-an-issue,,824687,elements,427305166.0,ns,64
throughput,a-turtle-of-an-issue,,824687,elements,411066912.0,ns,65
throughput,a-turtle-of-an-issue,,824687,elements,416847036.0,ns,66
throughput,a-turtle-of-an-issue,,824687,elements,403587388.0,ns,67
throughput,a-turtle-of-an-issue,,824687,elements,467711013.0,ns,68
throughput,a-turtle-of-an-issue,,824687,elements,418873733.0,ns,69
throughput,a-turtle-of-an-issue,,824687,elements,432288347.0,ns,70
throughput,a-turtle-of-an-issue,,824687,elements,435460568.0,ns,71
throughput,a-turtle-of-an-issue,,824687,elements,441171089.0,ns,72
throughput,a-turtle-of-an-issue,,824687,elements,445832608.0,ns,73
throughput,a-turtle-of-an-issue,,824687,elements,454864622.0,ns,74
throughput,a-turtle-of-an-issue,,824687,elements,505149960.0,ns,75
throughput,a-turtle-of-an-issue,,824687,elements,489667058.0,ns,76
throughput,a-turtle-of-an-issue,,824687,elements,537773662.0,ns,77
throughput,a-turtle-of-an-issue,,824687,elements,531162300.0,ns,78
throughput,a-turtle-of-an-issue,,824687,elements,508887554.0,ns,79
throughput,a-turtle-of-an-issue,,824687,elements,489865068.0,ns,80
throughput,a-turtle-of-an-issue,,824687,elements,512260570.0,ns,81
throughput,a-turtle-of-an-issue,,824687,elements,519066930.0,ns,82
throughput,a-turtle-of-an-issue,,824687,elements,518311491.0,ns,83
throughput,a-turtle-of-an-issue,,824687,elements,511245467.0,ns,84
throughput,a-turtle-of-an-issue,,824687,elements,536109727.0,ns,85
throughput,a-turtle-of-an-issue,,824687,elements,579879825.0,ns,86
throughput,a-turtle-of-an-issue,,824687,elements,601932728.0,ns,87
throughput,a-turtle-of-an-issue,,824687,elements,539275783.0,ns,88
throughput,a-turtle-of-an-issue,,824687,elements,553944575.0,ns,89
throughput,a-turtle-of-an-issue,,824687,elements,603301230.0,ns,90
throughput,a-turtle-of-an-issue,,824687,elements,624001650.0,ns,91
throughput,a-turtle-of-an-issue,,824687,elements,559291762.0,ns,92
throughput,a-turtle-of-an-issue,,824687,elements,586357917.0,ns,93
throughput,a-turtle-of-an-issue,,824687,elements,609832619.0,ns,94
throughput,a-turtle-of-an-issue,,824687,elements,570852441.0,ns,95
throughput,a-turtle-of-an-issue,,824687,elements,575028618.0,ns,96
throughput,a-turtle-of-an-issue,,824687,elements,581052024.0,ns,97
throughput,a-turtle-of-an-issue,,824687,elements,593469138.0,ns,98
throughput,a-turtle-of-an-issue,,824687,elements,638841883.0,ns,99
throughput,a-turtle-of-an-issue,,824687,elements,623933283.0,ns,100
